From,Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length
WP_001554375.1,A0A6P2N035,unreviewed,A0A6P2N035_9BURK,SnoaL-like domain-containing protein,BPS26883_04244,Burkholderia pseudomultivorans,130
WP_001554375.1,K8CGY8,unreviewed,K8CGY8_CROSK,SnoaL-like domain-containing protein,BN129_3310,Cronobacter sakazakii 701,130
WP_001554375.1,K8CUI1,unreviewed,K8CUI1_CROSK,SnoaL-like domain-containing protein,BN128_3052,Cronobacter sakazakii 696,130
WP_001554375.1,A0A1W6YVM1,unreviewed,A0A1W6YVM1_9BORD,Ketosteroid isomerase,CAL13_01620,Bordetella genomosp. 9,130
WP_001554375.1,B4E7N0,unreviewed,B4E7N0_BURCJ,SnoaL-like domain-containing protein,BCAL2530,Burkholderia cenocepacia (strain ATCC BAA-245 / DSM 16553 / LMG 16656 / NCTC 13227 / J2315 / CF5610) (Burkholderia cepacia (strain J2315)),130
WP_001554375.1,A0A7V7U268,unreviewed,A0A7V7U268_CROSK,Nuclear transport factor 2 family protein,FZI41_21775,Cronobacter sakazakii (Enterobacter sakazakii),130
WP_001554376.1,A0A6P2N9X6,unreviewed,A0A6P2N9X6_9BURK,ParD-like family protein,BPS26883_04245,Burkholderia pseudomultivorans,70
WP_001554376.1,K8CVI5,unreviewed,K8CVI5_CROSK,ParD-like family protein,BN129_3311,Cronobacter sakazakii 701,70
WP_001554376.1,K8DE37,unreviewed,K8DE37_CROSK,ParD-like family protein,BN128_3051,Cronobacter sakazakii 696,70
WP_001554376.1,A0A0U1PZG7,unreviewed,A0A0U1PZG7_9BURK,ParD-like family protein,AAV94_08300,Lampropedia cohaerens,70
WP_001554376.1,B4E7N2,unreviewed,B4E7N2_BURCJ,ParD-like family protein,BCAL2532,Burkholderia cenocepacia (strain ATCC BAA-245 / DSM 16553 / LMG 16656 / NCTC 13227 / J2315 / CF5610) (Burkholderia cepacia (strain J2315)),70
WP_001554376.1,A0A7V7PTG6,unreviewed,A0A7V7PTG6_CROSK,ParD-like family protein,FZI41_21780,Cronobacter sakazakii (Enterobacter sakazakii),70
WP_004186391.1,A0A105P2Z8,unreviewed,A0A105P2Z8_9BURK,50S ribosomal protein L28,rpmB BGV49_30820 BUB20358_04733 BW685_07330 DF011_18610 WI38_14770 WJ33_26565 WJ35_14510 WJ45_24550 WJ58_07510 WJ87_25110 WK55_20405 WK95_23580 WL29_04305 WL60_23840 WL73_07195 WL80_08120 WM16_03460,Burkholderia ubonensis,77
WP_004186391.1,A0A1J9NSF8,unreviewed,A0A1J9NSF8_9BURK,50S ribosomal protein L28,rpmB BFF94_26325,Burkholderia catarinensis,77
WP_004186391.1,A0A063BKA1,unreviewed,A0A063BKA1_9BURK,50S ribosomal protein L28,rpmB LIG30_1523,Burkholderia sp. lig30,77
